,sample_id,rock_name,qap_name,major_id,method_id,sio2,tio2,al2o3,fe2o3,mgo,cao,mno,k2o,na2o,p2o5,rock_type
15677,568813,granite,monzogranite,566487,1,72.8,0.27,15.4,0.92,0.25,1.5,0.12,4.0,4.1,0.16,granite
15678,568820,granite,monzogranite,488819,1,66.4,0.46,17.0,1.0,1.6,2.9,0.12,3.7,3.0,0.22,granite
15681,568834,monzonite,monzogranite,561018,1,72.4,0.26,14.8,0.6,0.4,1.6,0.02,4.3,3.9,0.04,granite
15682,568835,monzonite,monzogranite,549265,1,71.5,0.31,15.4,1.1,0.57,2.0,0.02,3.9,3.8,0.05,granite
15683,568836,monzonite,monzogranite,541361,1,70.9,0.31,15.1,0.92,0.42,1.8,0.02,4.7,3.8,0.04,granite
15684,568837,monzonite,monzogranite,540114,1,70.8,0.33,15.8,1.4,0.49,1.9,0.03,4.5,3.7,0.07,granite
15685,568838,monzonite,monzogranite,545339,1,71.2,0.33,15.1,0.68,0.52,2.1,0.03,4.5,3.9,0.06,granite
15686,568840,monzonite,monzogranite,538860,1,70.7,0.33,15.5,1.2,0.53,2.0,0.02,4.3,3.8,0.06,granite
15687,568841,monzonite,monzogranite,542722,1,71.0,0.34,15.4,1.1,0.53,1.9,0.03,4.5,3.9,0.06,granite
15688,568842,monzonite,monzogranite,542724,1,71.0,0.34,15.6,1.0,0.49,2.0,0.12,4.1,3.7,0.05,granite
15689,568843,monzonite,monzogranite,535118,1,70.4,0.36,14.5,1.2,0.54,2.1,0.12,4.5,3.7,0.05,granite
15690,568844,monzonite,monzogranite,553009,1,71.8,0.29,15.0,1.0,0.44,1.9,0.02,4.4,3.6,0.08,granite
15691,568845,monzonite,monzogranite,545340,1,71.2,0.33,15.2,1.3,0.51,2.0,0.02,4.4,3.6,0.05,granite
15692,568851,monzonite,monzogranite,472501,1,64.9,0.62,16.6,0.57,1.7,2.2,0.09,5.1,3.3,0.3,granite
15693,568853,granite,monzogranite,567844,1,72.9,0.26,13.5,1.4,0.27,1.0,0.05,4.6,3.8,0.05,granite
15695,568863,rhyolite,monzogranite,516664,1,68.9,0.15,11.4,0.48,0.35,2.8,0.04,3.5,1.1,0.02,granite
